task_id,data_id,stratum,sentence_type,n_spans,spans_json,text
10,73c381d6aacb49b695eec8f753dec85f-8,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 33, ""text"": ""Снова все узнавали и снова ругали""}, {""start"": 34, ""end"": 60, ""text"": ""и снова я ревела и обещала""}, {""start"": 62, ""end"": 77, ""text"": ""что исправлюсь.""}]","Снова все узнавали и снова ругали и снова я ревела и обещала, что исправлюсь."
11,69adf71879e441aea57a5aeb8a165d0d-16,presuicidal_multilabel_conj,Смешанного типа,4,"[{""start"": 0, ""end"": 22, ""text"": ""Я почти смирился с тем""}, {""start"": 24, ""end"": 60, ""text"": ""что Бог проклял и отвернулся от меня""}, {""start"": 61, ""end"": 73, ""text"": ""(Есть за что""}, {""start"": 76, ""end"": 156, ""text"": ""в период расставания с девушкой я все равно ее ревновал, преследовал, оскорблял.""}]","Я почти смирился с тем, что Бог проклял и отвернулся от меня (Есть за что - в период расставания с девушкой я все равно ее ревновал, преследовал, оскорблял."
12,e54dcc448f394692a913f493aac379a8-41,presuicidal_multilabel_conj,СПП,2,"[{""start"": 0, ""end"": 63, ""text"": ""Но стоит ему как-то не так на меня посмотреть или не посмотреть""}, {""start"": 65, ""end"": 135, ""text"": ""как я начинаю выть как раненная собака и хвататься за острые предметы.""}]","Но стоит ему как-то не так на меня посмотреть или не посмотреть, как я начинаю выть как раненная собака и хвататься за острые предметы."
13,44fe7514fc514320a27ac2dda01ffcb3-4,presuicidal_multilabel_conj,Смешанного типа,8,"[{""start"": 0, ""end"": 13, ""text"": ""начнем с того""}, {""start"": 14, ""end"": 73, ""text"": ""что после предательства друзей, смерти дедушки, и измена ту""}, {""start"": 74, ""end"": 87, ""text"": ""которое любил""}, {""start"": 89, ""end"": 105, ""text"": ""я 3 года мучился""}, {""start"": 107, ""end"": 117, ""text"": ""я был один""}, {""start"": 119, ""end"": 173, ""text"": ""все просто ушли, думая что я плохой и уродливый парень""}, {""start"": 175, ""end"": 188, ""text"": ""прошло 3 года""}, {""start"": 190, ""end"": 248, ""text"": ""я решил уехать в другой город подальше от дома, за 600 км.""}]","начнем с того что после предательства друзей, смерти дедушки, и измена ту которое любил, я 3 года мучился, я был один, все просто ушли, думая что я плохой и уродливый парень, прошло 3 года, я решил уехать в другой город подальше от дома, за 600 км."
14,0229a8552bef4455b12ee3e87dc1a0e5-2,presuicidal_multilabel_conj,Смешанного типа,6,"[{""start"": 0, ""end"": 28, ""text"": ""Дочка слава богу аыздоровила""}, {""start"": 30, ""end"": 58, ""text"": ""но все ровно я ещё пережтваю""}, {""start"": 59, ""end"": 96, ""text"": ""ей поставили диагноз синдром Кавасаки""}, {""start"": 98, ""end"": 127, ""text"": ""а вот муж настолько изменился""}, {""start"": 129, ""end"": 165, ""text"": ""что нету сил терпеть все его выхотки""}, {""start"": 166, ""end"": 182, ""text"": ""он довел меня до""}]","Дочка слава богу аыздоровила, но все ровно я ещё пережтваю ей поставили диагноз синдром Кавасаки, а вот муж настолько изменился, что нету сил терпеть все его выхотки он довел меня до"
15,bf8b916869b642c0844b48546412b921-13,presuicidal_multilabel_conj,БСП,5,"[{""start"": 0, ""end"": 26, ""text"": ""и на работе все беременные""}, {""start"": 27, ""end"": 40, ""text"": ""ненавижу всех""}, {""start"": 41, ""end"": 71, ""text"": ""хочу умереть и не видеть этого""}, {""start"": 72, ""end"": 89, ""text"": ""сын меня не любит""}, {""start"": 91, ""end"": 131, ""text"": ""ему я нужна только как источник подарков""}]","и на работе все беременные ненавижу всех хочу умереть и не видеть этого сын меня не любит, ему я нужна только как источник подарков"
16,10412a150dcc4f5792543aa30391dc0d-6,presuicidal_multilabel_conj,Не сложное,1,"[{""start"": 0, ""end"": 28, ""text"": ""Я всё равно никому не нужна.""}]",Я всё равно никому не нужна.
17,f6c64ac7839c4a97b0e8d90e0fda426e-46,presuicidal_multilabel_conj,БСП,7,"[{""start"": 0, ""end"": 9, ""text"": ""Маме хуже""}, {""start"": 10, ""end"": 26, ""text"": ""она сказала отцу""}, {""start"": 27, ""end"": 52, ""text"": ""они спиваются уже как год""}, {""start"": 53, ""end"": 67, ""text"": ""они алкоголики""}, {""start"": 68, ""end"": 93, ""text"": ""проблемы с деньгами драки""}, {""start"": 94, ""end"": 108, ""text"": ""отец бьет мать""}, {""start"": 109, ""end"": 139, ""text"": ""я бью его защищая себя и мать.""}]",Маме хуже она сказала отцу они спиваются уже как год они алкоголики проблемы с деньгами драки отец бьет мать я бью его защищая себя и мать.
18,84b27c59fea647808cc6f42a3458a7cc-13,presuicidal_multilabel_conj,Смешанного типа,9,"[{""start"": 0, ""end"": 5, ""text"": ""О том""}, {""start"": 7, ""end"": 45, ""text"": ""что у меня никогда не будет своейсемьи""}, {""start"": 47, ""end"": 80, ""text"": ""что меня никогда никто не полюбит""}, {""start"": 82, ""end"": 112, ""text"": ""что у друзей есть своипроблемы""}, {""start"": 113, ""end"": 135, ""text"": ""и на меня им наплевать""}, {""start"": 137, ""end"": 163, ""text"": ""что я не могу найти работу""}, {""start"": 165, ""end"": 188, ""text"": ""котораябы мне нравилась""}, {""start"": 190, ""end"": 237, ""text"": ""что в конечном итоге с останусь совершенно одна""}, {""start"": 238, ""end"": 260, ""text"": ""ибуду никому не нужна.""}]","О том, что у меня никогда не будет своейсемьи, что меня никогда никто не полюбит, что у друзей есть своипроблемы и на меня им наплевать, что я не могу найти работу, котораябы мне нравилась, что в конечном итоге с останусь совершенно одна ибуду никому не нужна."
19,75bfcf80b84c44e290a88d4f7f8ad21a-5,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 14, ""text"": ""Я понимаю умом""}, {""start"": 16, ""end"": 31, ""text"": ""что мне повезло""}, {""start"": 34, ""end"": 66, ""text"": ""я выбралась на какой-то уровень.""}]","Я понимаю умом, что мне повезло - я выбралась на какой-то уровень."
20,ea49fbe9310b4fe7ad8b2ae5f3bbe91a-25,presuicidal_multilabel_conj,Не сложное,1,"[{""start"": 0, ""end"": 25, ""text"": ""А я жить без неё не могу.""}]",А я жить без неё не могу.
21,7d1bab3f2bba42058c67a47e027fe62f-2,presuicidal_multilabel_conj,СПП,3,"[{""start"": 0, ""end"": 30, ""text"": ""Я раньше попадала на этот сайт""}, {""start"": 32, ""end"": 64, ""text"": ""когда были проблемы с родителями""}, {""start"": 66, ""end"": 96, ""text"": ""резала руки, думала о суициде.""}]","Я раньше попадала на этот сайт, когда были проблемы с родителями, резала руки, думала о суициде."
22,9d4a5f6f7e9f41dfa9cca456130b8d99-17,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 62, ""text"": ""Мне очень нужно было с кем-нибудь поделиться своими проблемами""}, {""start"": 63, ""end"": 117, ""text"": ""тк я просто с ума схожу от всего этого в последние дни""}, {""start"": 119, ""end"": 151, ""text"": ""и снова в голове мысли о суициде""}]","Мне очень нужно было с кем-нибудь поделиться своими проблемами тк я просто с ума схожу от всего этого в последние дни, и снова в голове мысли о суициде"
23,e318379b2dd34502926b8ea711497922-9,presuicidal_multilabel_conj,СПП,3,"[{""start"": 0, ""end"": 33, ""text"": ""и эти фатальные мысли + депрессия""}, {""start"": 34, ""end"": 60, ""text"": ""из которой я не могу выйти""}, {""start"": 61, ""end"": 77, ""text"": ""меня уничтожают.""}]",и эти фатальные мысли + депрессия из которой я не могу выйти меня уничтожают.
24,a31af1cff67446409ec724c950e21c54-8,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 81, ""text"": ""Но вот после появления девушки, мне хотелось постоянно что то ей покупать, дарить""}, {""start"": 83, ""end"": 98, ""text"": ""я был очень рад""}, {""start"": 100, ""end"": 128, ""text"": ""что могу себе эот позволять.""}]","Но вот после появления девушки, мне хотелось постоянно что то ей покупать, дарить, я был очень рад, что могу себе эот позволять."
25,170993eef34541ab916a3022a03defb7-23,presuicidal_multilabel_conj,СПП,2,"[{""start"": 0, ""end"": 25, ""text"": ""Плачу иногда и не понимаю""}, {""start"": 26, ""end"": 61, ""text"": ""как я мог так изуродовать так себя.""}]",Плачу иногда и не понимаю как я мог так изуродовать так себя.
26,db7bbf71b77f44ad848fb6fd069b74dc-12,presuicidal_multilabel_conj,БСП,4,"[{""start"": 0, ""end"": 35, ""text"": ""В голове только один выход - суицид""}, {""start"": 37, ""end"": 53, ""text"": ""я смогу решиться""}, {""start"": 55, ""end"": 69, ""text"": ""я уже пыталась""}, {""start"": 71, ""end"": 87, ""text"": ""меня остановили.""}]","В голове только один выход - суицид, я смогу решиться, я уже пыталась, меня остановили."
27,0747dea7f5e3457ebade6da554947783-1,presuicidal_multilabel_conj,БСП,3,"[{""start"": 0, ""end"": 32, ""text"": ""Но мои родители ругались дрались""}, {""start"": 33, ""end"": 52, ""text"": ""я как то не об этом""}, {""start"": 53, ""end"": 90, ""text"": ""как то это все наверное отпечаталось.""}]",Но мои родители ругались дрались я как то не об этом как то это все наверное отпечаталось.
28,564a5a8ede4749af8468b3df91c9a571-1,presuicidal_multilabel_conj,Смешанного типа,4,"[{""start"": 0, ""end"": 21, ""text"": ""О суициде думаю давно""}, {""start"": 23, ""end"": 52, ""text"": ""просто не вижу другого выхода""}, {""start"": 54, ""end"": 79, ""text"": ""последней каплей стало то""}, {""start"": 81, ""end"": 114, ""text"": ""что от меня ушел любимый человек.""}]","О суициде думаю давно, просто не вижу другого выхода, последней каплей стало то, что от меня ушел любимый человек."
29,ff2520855ecc43e8a50343ccdf9c813c-30,presuicidal_multilabel_conj,Не сложное,1,"[{""start"": 0, ""end"": 42, ""text"": ""Я съездила на похороны только ради матери.""}]",Я съездила на похороны только ради матери.
30,52627576fd8a462298a57c81d0ba8740-11,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 25, ""text"": ""С мужем жили очень хорошо""}, {""start"": 27, ""end"": 59, ""text"": ""я была счастлива и всегда думала""}, {""start"": 61, ""end"": 87, ""text"": ""что мы – это на всю жизнь.""}]","С мужем жили очень хорошо, я была счастлива и всегда думала, что мы – это на всю жизнь."
31,ba897f54d5e34f8faefdbab693de9c34-8,presuicidal_multilabel_conj,СПП,2,"[{""start"": 0, ""end"": 113, ""text"": ""Но последние два-три года, даже в отсутствие истерик, нервных срывов и глубоких депрессий, я четко и ясно понимаю""}, {""start"": 115, ""end"": 139, ""text"": ""что жить мне не хочется.""}]","Но последние два-три года, даже в отсутствие истерик, нервных срывов и глубоких депрессий, я четко и ясно понимаю, что жить мне не хочется."
32,c550ce450f0f4ac0bd32c02b618eff50-8,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 19, ""text"": ""Меня никто не любит""}, {""start"": 20, ""end"": 73, ""text"": ""и мне проще уйти из дома родителей жениха или умереть""}, {""start"": 75, ""end"": 109, ""text"": ""лишь бы не испытывать этот кошмар.""}]","Меня никто не любит и мне проще уйти из дома родителей жениха или умереть, лишь бы не испытывать этот кошмар."
33,11d39b4f588c436392f80265e9d3b1f2-2,presuicidal_multilabel_conj,Смешанного типа,8,"[{""start"": 0, ""end"": 30, ""text"": ""Мой гражданский муж издевается""}, {""start"": 32, ""end"": 45, ""text"": ""дети не любят""}, {""start"": 47, ""end"": 63, ""text"": ""а еще я вич плюс""}, {""start"": 65, ""end"": 81, ""text"": ""и парня заразила""}, {""start"": 83, ""end"": 95, ""text"": ""не хочу жить""}, {""start"": 96, ""end"": 108, ""text"": ""очень тяжело""}, {""start"": 110, ""end"": 127, ""text"": ""хорошо детей есть""}, {""start"": 128, ""end"": 138, ""text"": ""куда деть.""}]","Мой гражданский муж издевается, дети не любят, а еще я вич плюс, и парня заразила( не хочу жить очень тяжело, хорошо детей есть куда деть."
34,c0c862ae70424813a1182330051129cc-10,presuicidal_multilabel_conj,Не сложное,1,"[{""start"": 0, ""end"": 41, ""text"": ""Так пару раз я застукивала с разлучницей.""}]",Так пару раз я застукивала с разлучницей.
35,29676fcf5c1c475698c6c6d50d0732d5-8,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 12, ""text"": ""Я точно знаю""}, {""start"": 13, ""end"": 58, ""text"": ""что всегда была честной с дорогими мне людьми""}, {""start"": 60, ""end"": 95, ""text"": ""и я не заслуживаю такого отношения.""}]","Я точно знаю что всегда была честной с дорогими мне людьми, и я не заслуживаю такого отношения."
36,763af6f908574db2a83d1b643fac1a03-3,presuicidal_multilabel_conj,Смешанного типа,5,"[{""start"": 0, ""end"": 41, ""text"": ""Учусь в престижном ВУЗе ( и учусь неплохо""}, {""start"": 43, ""end"": 93, ""text"": ""есть любящая девушка, замечательные, верные друзья""}, {""start"": 95, ""end"": 135, ""text"": ""крупных конфликтов в семье не происходит""}, {""start"": 136, ""end"": 150, ""text"": ""( семья полная""}, {""start"": 152, ""end"": 196, ""text"": ""да и в целом ни с кем конфликтов у меня нет.""}]","Учусь в престижном ВУЗе ( и учусь неплохо, есть любящая девушка, замечательные, верные друзья, крупных конфликтов в семье не происходит ( семья полная, да и в целом ни с кем конфликтов у меня нет."
37,10c535fddb4940eb98ca71cbb64f952e-52,presuicidal_multilabel_conj,Смешанного типа,6,"[{""start"": 0, ""end"": 27, ""text"": ""Мне вчера пришла смс от нее""}, {""start"": 29, ""end"": 94, ""text"": ""что она ненавидит меня и всю жизнь любила и любит одного человека""}, {""start"": 95, ""end"": 117, ""text"": ""и этот человек - не я.""}, {""start"": 118, ""end"": 268, ""text"": ""Сейчас у меня большие перспективы на другой работе, организационные планы, телевидение, встречи с известными людьми и первыми лицами в регионах России""}, {""start"": 270, ""end"": 292, ""text"": ""но пусто внутри, ПУСТО""}, {""start"": 294, ""end"": 328, ""text"": ""как будто выпотрошили тебя до тла.""}]","Мне вчера пришла смс от нее, что она ненавидит меня и всю жизнь любила и любит одного человека и этот человек - не я. Сейчас у меня большие перспективы на другой работе, организационные планы, телевидение, встречи с известными людьми и первыми лицами в регионах России, но пусто внутри, ПУСТО, как будто выпотрошили тебя до тла."
38,6ddc05c4077f41deb1129ece9591c77a-13,presuicidal_multilabel_conj,ССП,2,"[{""start"": 0, ""end"": 17, ""text"": ""Я никому не нужен""}, {""start"": 19, ""end"": 44, ""text"": ""а мне не нужна эта жизнь.""}]","Я никому не нужен, а мне не нужна эта жизнь."
39,4e3c7cc6cd2944b1b6693807754c8e08-22,presuicidal_multilabel_conj,Смешанного типа,7,"[{""start"": 0, ""end"": 27, ""text"": ""Мама несколько раз говорила""}, {""start"": 29, ""end"": 102, ""text"": ""что мне пора найти работу, обеспечивать себя хотя бы карманными расходами""}, {""start"": 104, ""end"": 136, ""text"": ""но как только дело доходит о том""}, {""start"": 138, ""end"": 164, ""text"": ""чтобы просто выйти из дома""}, {""start"": 166, ""end"": 195, ""text"": ""то начинаются крики, скандалы""}, {""start"": 197, ""end"": 232, ""text"": ""что я буду где-то болтаться и т. д.""}, {""start"": 233, ""end"": 290, ""text"": ""Никакие разговоры, никакие психологи и врачи не помогали.""}]","Мама несколько раз говорила, что мне пора найти работу, обеспечивать себя хотя бы карманными расходами, но как только дело доходит о том, чтобы просто выйти из дома, то начинаются крики, скандалы, что я буду где-то болтаться и т. д. Никакие разговоры, никакие психологи и врачи не помогали."
40,165e11ea170942cd808a20653b0c83d5-1,presuicidal_multilabel_conj,Смешанного типа,6,"[{""start"": 0, ""end"": 47, ""text"": ""Меня оскорбляют однокласники и учительнизы тоже""}, {""start"": 48, ""end"": 75, ""text"": ""конечно хотелось бы умереть""}, {""start"": 76, ""end"": 102, ""text"": ""но я не могу этого сделать""}, {""start"": 103, ""end"": 121, ""text"": ""я держусь как могу""}, {""start"": 122, ""end"": 157, ""text"": ""но скоро мне не захочется держаться""}, {""start"": 158, ""end"": 165, ""text"": ""и умру.""}]",Меня оскорбляют однокласники и учительнизы тоже конечно хотелось бы умереть но я не могу этого сделать я держусь как могу но скоро мне не захочется держаться и умру.
41,4cb5728967554d6a83f3083d99e57181-11,presuicidal_multilabel_conj,БСП,2,"[{""start"": 0, ""end"": 29, ""text"": ""Меня предали друзья и любимая""}, {""start"": 31, ""end"": 60, ""text"": ""после я \""упал\"" в одиночество.""}]","Меня предали друзья и любимая, после я ""упал"" в одиночество."
42,d992030dc18c4cfea61a64e1aa8ba1bc-3,presuicidal_multilabel_conj,БСП,2,"[{""start"": 0, ""end"": 64, ""text"": ""Я не могу контролировать свои эмоции и высказывания, вечно язвлю""}, {""start"": 65, ""end"": 112, ""text"": ""Да, меня часто посещают мысли о уходе из жизни.""}]","Я не могу контролировать свои эмоции и высказывания, вечно язвлю Да, меня часто посещают мысли о уходе из жизни."
43,8d5da93fe9b5407dac97d3a0855c1c3d-2,presuicidal_multilabel_conj,СПП,2,"[{""start"": 0, ""end"": 10, ""text"": ""Дело в том""}, {""start"": 11, ""end"": 36, ""text"": ""что я люблю одну девушку.""}]",Дело в том что я люблю одну девушку.
44,be4aeba3b9d34245aa3096c7e626234b-1,presuicidal_multilabel_conj,Не сложное,1,"[{""start"": 0, ""end"": 30, ""text"": ""У меня бессонница и депрессия.""}]",У меня бессонница и депрессия.
45,238e3a516dde45bdba23f8455cedc000-4,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 56, ""text"": ""Наверное, самоненависть дошла уже до критического уровня""}, {""start"": 58, ""end"": 67, ""text"": ""я понимаю""}, {""start"": 69, ""end"": 87, ""text"": ""что не справляюсь.""}]","Наверное, самоненависть дошла уже до критического уровня, я понимаю, что не справляюсь."
46,b1134a454e744c42ad4efea3bd934db9-14,presuicidal_multilabel_conj,ССП,2,"[{""start"": 0, ""end"": 13, ""text"": ""Я ничтожиство""}, {""start"": 14, ""end"": 51, ""text"": ""а жизнь теряет для меня всякий смысл.""}]",Я ничтожиство а жизнь теряет для меня всякий смысл.
47,774f6e8cdd3c46409a0eceabc836f326-2,presuicidal_multilabel_conj,БСП,5,"[{""start"": 0, ""end"": 15, ""text"": ""Потеряла работу""}, {""start"": 17, ""end"": 26, ""text"": ""муж избил""}, {""start"": 27, ""end"": 48, ""text"": ""все тело ноет от боли""}, {""start"": 49, ""end"": 57, ""text"": ""я устала""}, {""start"": 59, ""end"": 106, ""text"": ""вот бы выпить что нибудь уснуть и не проснутся.""}]","Потеряла работу, муж избил все тело ноет от боли я устала, вот бы выпить что нибудь уснуть и не проснутся."
48,f54af543406e4d7e992922d08b56b654-12,presuicidal_multilabel_conj,Смешанного типа,7,"[{""start"": 0, ""end"": 5, ""text"": ""Думаю""}, {""start"": 6, ""end"": 21, ""text"": ""так легче будет""}, {""start"": 23, ""end"": 39, ""text"": ""ему то всё равно""}, {""start"": 41, ""end"": 88, ""text"": ""а родителям не нужна такая \""не правильная\"" дочь""}, {""start"": 90, ""end"": 110, ""text"": ""да и мне легче будет""}, {""start"": 112, ""end"": 133, ""text"": ""никто давить не будет""}, {""start"": 134, ""end"": 157, ""text"": ""и любить его перестану.""}]","Думаю так легче будет, ему то всё равно, а родителям не нужна такая ""не правильная"" дочь, да и мне легче будет, никто давить не будет и любить его перестану."
49,5b9bd2c3f35a4135a816780d8a6ea86b-27,presuicidal_multilabel_conj,БСП,3,"[{""start"": 0, ""end"": 9, ""text"": ""Я пропала""}, {""start"": 11, ""end"": 32, ""text"": ""я испорченный ребенок""}, {""start"": 34, ""end"": 100, ""text"": ""на фоне расстройств я стала курить и прибегала к попыткам суицида.""}]","Я пропала, я испорченный ребенок, на фоне расстройств я стала курить и прибегала к попыткам суицида."
50,20782b69b53b4bc4a4891ccba7cf01c0-9,presuicidal_multilabel_conj,Смешанного типа,4,"[{""start"": 0, ""end"": 43, ""text"": ""А ведь мне никто не может помочь кроме себя""}, {""start"": 45, ""end"": 58, ""text"": ""а я не слабая""}, {""start"": 60, ""end"": 72, ""text"": ""я не понимаю""}, {""start"": 73, ""end"": 92, ""text"": ""что мне ещё делать.""}]","А ведь мне никто не может помочь кроме себя, а я не слабая, я не понимаю что мне ещё делать."
51,0cb0c15318594ee4a8908cf633fb43c0-3,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 37, ""text"": ""я постоянно плачу не могу успакоиться""}, {""start"": 39, ""end"": 82, ""text"": ""постоянно нервничаю и срываюсь на родителях""}, {""start"": 83, ""end"": 112, ""text"": ""что потом поподает опять мне.""}]","я постоянно плачу не могу успакоиться, постоянно нервничаю и срываюсь на родителях что потом поподает опять мне."
52,53183c765ff64cfebe5bd9024456d862-7,presuicidal_multilabel_conj,СПП,2,"[{""start"": 0, ""end"": 91, ""text"": ""Депрессия, постоянная подозрительность, попытки влиться в коллектив настолько замучали меня""}, {""start"": 93, ""end"": 124, ""text"": ""что я стала успокаиваться едой.""}]","Депрессия, постоянная подозрительность, попытки влиться в коллектив настолько замучали меня, что я стала успокаиваться едой."
53,5b6bd94512a848dd8a96dacb06e3f89c-4,presuicidal_multilabel_conj,Смешанного типа,4,"[{""start"": 0, ""end"": 71, ""text"": ""Где-то около 1, 2 года назад я стал думать о смерти и впал в дикий ужас""}, {""start"": 73, ""end"": 89, ""text"": ""когда представил""}, {""start"": 91, ""end"": 114, ""text"": ""что я когда-нибудь умру""}, {""start"": 115, ""end"": 138, ""text"": ""и меня не будет совсем!""}]","Где-то около 1, 2 года назад я стал думать о смерти и впал в дикий ужас, когда представил, что я когда-нибудь умру и меня не будет совсем!"
