task_idx,text,stratum,category,description,daniil_n_spans,daniil_spans,daniil_type,shirin_n_spans,shirin_spans,shirin_type,igor_n_spans,igor_spans,igor_type
10,"В 11 классе я перешла в новую школу, в которой было прекрасно всё: я любила всех одноклассников, учителей.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",3,"[0,35]В 11 классе я перешла в новую школу; [37,65]в которой было прекрасно всё; [67,105]я любила всех одноклассников, учителей",БСП,3,"[0,35]В 11 классе я перешла в новую школу; [37,65]в которой было прекрасно всё; [67,105]я любила всех одноклассников, учителей",СПП,3,"[0,35]В 11 классе я перешла в новую школу; [37,65]в которой было прекрасно всё; [67,105]я любила всех одноклассников, учителей",Смешанного типа
11,"В Испании мужчина предстанет перед судом за то, что изнасиловал собственную 15-летнюю дочь и двух ее подруг под предлогом изгнания злых духов.",solyanka_lenta_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,46]В Испании мужчина предстанет перед судом за то; [48,141]что изнасиловал собственную 15-летнюю дочь и двух ее подруг под предлогом изгнания злых духов",СПП,2,"[0,46]В Испании мужчина предстанет перед судом за то; [48,141]что изнасиловал собственную 15-летнюю дочь и двух ее подруг под предлогом изгнания злых духов",СПП,2,"[0,46]В Испании мужчина предстанет перед судом за то; [48,141]что изнасиловал собственную 15-летнюю дочь и двух ее подруг под предлогом изгнания злых духов",СПП
12,"В общем немного о себе, я тот человек, который когда то был очень позитивен, заряжен на все 100% и главное УВЕРЕН в себе.",presuicidal_monolabel_long,adverbial_participle,Деепричастный/причастный оборот — один аннотатор ошибочно выделил его как самостоятельную клаузу.,3,"[0,22]В общем немного о себе; [24,37]я тот человек; [39,120]который когда то был очень позитивен, заряжен на все 100% и главное УВЕРЕН в себе",СПП,3,"[0,22]В общем немного о себе; [24,37]я тот человек; [39,120]который когда то был очень позитивен, заряжен на все 100% и главное УВЕРЕН в себе",СПП,2,"[0,37]В общем немного о себе, я тот человек; [39,120]который когда то был очень позитивен, заряжен на все 100% и главное УВЕРЕН в себе",СПП
13,"В общем с опустошением пройдя все семейные войны я вышел на путь взрослой жизни практически без сил, в армию не пошёл, получил группу инвалидности по психике, и торчал в депрессии лет до 26, пока не встретился с одной девушкой.",presuicidal_multilabel_conj,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,189]В общем с опустошением пройдя все семейные войны я вышел на путь взрослой жизни практически без сил, в армию не пошёл, получил группу инвалидности по психике, и торчал в депрессии лет до 26; [191,226]пока не встретился с одной девушкой",СПП,2,"[0,189]В общем с опустошением пройдя все семейные войны я вышел на путь взрослой жизни практически без сил, в армию не пошёл, получил группу инвалидности по психике, и торчал в депрессии лет до 26; [191,226]пока не встретился с одной девушкой",СПП,2,"[0,189]В общем с опустошением пройдя все семейные войны я вышел на путь взрослой жизни практически без сил, в армию не пошёл, получил группу инвалидности по психике, и торчал в депрессии лет до 26; [191,226]пока не встретился с одной девушкой",СПП
14,В первом классе меня все любили всем мальчикам я нравилась.,presuicidal_short_simple,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,31]В первом классе меня все любили; [32,58]всем мальчикам я нравилась",БСП,2,"[0,31]В первом классе меня все любили; [32,58]всем мальчикам я нравилась",БСП,2,"[0,31]В первом классе меня все любили; [32,58]всем мальчикам я нравилась",БСП
15,"В пресс-службе УМВД по Екатеринбургу журналистам рассказали, что в дежурную часть уже поступило заявление, и теперь сотрудники устанавливают личность злоумышленника.",solyanka_lenta_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",3,"[0,59]В пресс-службе УМВД по Екатеринбургу журналистам рассказали; [61,105]что в дежурную часть уже поступило заявление; [107,164]и теперь сотрудники устанавливают личность злоумышленника",Смешанного типа,3,"[0,59]В пресс-службе УМВД по Екатеринбургу журналистам рассказали; [61,105]что в дежурную часть уже поступило заявление; [107,164]и теперь сотрудники устанавливают личность злоумышленника",Смешанного типа,3,"[0,59]В пресс-службе УМВД по Екатеринбургу журналистам рассказали; [61,105]что в дежурную часть уже поступило заявление; [107,164]и теперь сотрудники устанавливают личность злоумышленника",Смешанного типа
16,"В семье меня может и любят, но все свои ""психи"" срывают на мне.",other,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,26]В семье меня может и любят; [28,62]но все свои ""психи"" срывают на мне",ССП,2,"[0,26]В семье меня может и любят; [28,62]но все свои ""психи"" срывают на мне",ССП,2,"[0,26]В семье меня может и любят; [28,62]но все свои ""психи"" срывают на мне",СПП
17,"Весь год, пока ресторан был закрыт, он вместе с помощниками ездил по скандинавским странам и искал редкие традиционные блюда: «от странных растений и ракушек до рыбьих глаз».",solyanka_lenta_long,adverbial_participle,Деепричастный/причастный оборот — один аннотатор ошибочно выделил его как самостоятельную клаузу.,3,"[0,8]Весь год; [10,34]пока ресторан был закрыт; [36,172]он вместе с помощниками ездил по скандинавским странам и искал редкие традиционные блюда: «от странных растений и ракушек до рыбьих глаз",СПП,2,"[0,34]Весь год, пока ресторан был закрыт; [36,172]он вместе с помощниками ездил по скандинавским странам и искал редкие традиционные блюда: «от странных растений и ракушек до рыбьих глаз",СПП,3,"[0,8]Весь год; [10,34]пока ресторан был закрыт; [36,172]он вместе с помощниками ездил по скандинавским странам и искал редкие традиционные блюда: «от странных растений и ракушек до рыбьих глаз",СПП
18,"Вижу счастливые картины мира где меня никогда не было, прописываю всё до мелочей, портреты, характеры, случаи и всё лучше чем со мной!",presuicidal_monolabel_long,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",3,"[0,28]Вижу счастливые картины мира; [29,53]где меня никогда не было; [55,133]прописываю всё до мелочей, портреты, характеры, случаи и всё лучше чем со мной",СПП,4,"[0,28]Вижу счастливые картины мира; [29,53]где меня никогда не было; [55,109]прописываю всё до мелочей, портреты, характеры, случаи; [110,133]и всё лучше чем со мной",Смешанного типа,3,"[0,28]Вижу счастливые картины мира; [29,53]где меня никогда не было; [55,133]прописываю всё до мелочей, портреты, характеры, случаи и всё лучше чем со мной",Смешанного типа
19,"Всем, кто пытается выместить свою ярость в сообщениях: успокойтесь, я их даже не открываю», — отметила Папен.",solyanka_lenta_long,text_artifact,"Несбалансированные скобки/кавычки в исходном тексте — артефакт, затрудняющий согласованную разметку границ.",4,"[0,53]Всем, кто пытается выместить свою ярость в сообщениях; [55,66]успокойтесь; [68,89]я их даже не открываю; [94,108]отметила Папен",Смешанного типа,4,"[0,53]Всем, кто пытается выместить свою ярость в сообщениях; [55,66]успокойтесь; [68,89]я их даже не открываю; [94,108]отметила Папен",БСП,3,"[0,66]Всем, кто пытается выместить свою ярость в сообщениях: успокойтесь; [68,89]я их даже не открываю; [94,108]отметила Папен",БСП
20,"Всё еще усугубляют некоторые проблемы со здоровьем, я заикающийся очкарик.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,50]Всё еще усугубляют некоторые проблемы со здоровьем; [52,73]я заикающийся очкарик",БСП,2,"[0,50]Всё еще усугубляют некоторые проблемы со здоровьем; [52,73]я заикающийся очкарик",БСП,2,"[0,50]Всё еще усугубляют некоторые проблемы со здоровьем; [52,73]я заикающийся очкарик",БСП
21,"Высший уровень воплощения украинского врага - бандеровцы , русоненавистники , грозящие всем русскоговорящим резней , или , того хуже ,« Гейропой » и неизбежным растлением .",solyanka_lj_long,adverbial_participle,Деепричастный/причастный оборот — один аннотатор ошибочно выделил его как самостоятельную клаузу.,1,"[0,170]Высший уровень воплощения украинского врага - бандеровцы , русоненавистники , грозящие всем русскоговорящим резней , или , того хуже ,« Гейропой » и неизбежным растлением",Не сложное,2,"[0,43]Высший уровень воплощения украинского врага; [46,170]бандеровцы , русоненавистники , грозящие всем русскоговорящим резней , или , того хуже ,« Гейропой » и неизбежным растлением",Не сложное,1,"[0,170]Высший уровень воплощения украинского врага - бандеровцы , русоненавистники , грозящие всем русскоговорящим резней , или , того хуже ,« Гейропой » и неизбежным растлением",Не сложное
22,"Вышла я с больничного другим человеком - жалким, беспомощным.",presuicidal_multilabel_bsp,other,"Разное число клауз ({'daniil': 1, 'shirin': 2, 'igor': 1}) без явного типового паттерна.",1,"[0,60]Вышла я с больничного другим человеком - жалким, беспомощным",Не сложное,2,"[0,38]Вышла я с больничного другим человеком; [41,60]жалким, беспомощным",Не сложное,1,"[0,60]Вышла я с больничного другим человеком - жалким, беспомощным",Не сложное
23,"Да и меня особо не волнует, то что я никому не нравлюсь, раздражают всякие советы типа ""найдёте того, кто полюбит вас такой какая вы есть, не всем парням нравятся худые"" и т. д. Мне это не надо.",presuicidal_monolabel_long,direct_speech,"Внутри прямой речи / реплики один аннотатор выделил клаузы, другой оставил реплику целиком.",4,"[0,26]Да и меня особо не волнует; [28,55]то что я никому не нравлюсь; [57,176]раздражают всякие советы типа ""найдёте того, кто полюбит вас такой какая вы есть, не всем парням нравятся худые"" и т. д; [178,193]Мне это не надо",Смешанного типа,3,"[0,55]Да и меня особо не волнует, то что я никому не нравлюсь; [57,176]раздражают всякие советы типа ""найдёте того, кто полюбит вас такой какая вы есть, не всем парням нравятся худые"" и т. д; [178,193]Мне это не надо",Смешанного типа,7,"[0,30]Да и меня особо не волнует, то; [31,55]что я никому не нравлюсь; [57,86]раздражают всякие советы типа; [88,100]найдёте того; [102,137]кто полюбит вас такой какая вы есть; [139,168]не всем парням нравятся худые; [178,193]Мне это не надо",Смешанного типа
24,"Да и самим жильцам : наверняка ведь и вам хоть раз случалось по запарке или с устатку подойти не к тому дому — и в лучшем случае удивляться , почему домофон не реагирует на ключ ?",solyanka_lj_long,direct_speech,"Внутри прямой речи / реплики один аннотатор выделил клаузы, другой оставил реплику целиком.",3,"[0,18]Да и самим жильцам; [21,139]наверняка ведь и вам хоть раз случалось по запарке или с устатку подойти не к тому дому — и в лучшем случае удивляться; [142,177]почему домофон не реагирует на ключ",Смешанного типа,3,"[0,108]Да и самим жильцам : наверняка ведь и вам хоть раз случалось по запарке или с устатку подойти не к тому дому; [111,139]и в лучшем случае удивляться; [142,177]почему домофон не реагирует на ключ",Смешанного типа,2,"[0,139]Да и самим жильцам : наверняка ведь и вам хоть раз случалось по запарке или с устатку подойти не к тому дому — и в лучшем случае удивляться; [142,177]почему домофон не реагирует на ключ",СПП
25,"Да может я и глупость скажу, но сам факт Я ЖИТЬ БОЛЬШЕ НЕХОЧУ.",presuicidal_multilabel_conj,parenthetical,"Вводное/вставное слово или конструкция — расхождение в том, считать ли её отдельной вставной клаузой.",3,"[0,27]Да может я и глупость скажу; [29,40]но сам факт; [41,61]Я ЖИТЬ БОЛЬШЕ НЕХОЧУ",Смешанного типа,2,"[0,27]Да может я и глупость скажу; [29,61]но сам факт Я ЖИТЬ БОЛЬШЕ НЕХОЧУ",СПП,2,"[0,27]Да может я и глупость скажу; [29,61]но сам факт Я ЖИТЬ БОЛЬШЕ НЕХОЧУ",СПП
26,"Даже описывать не буду, как мне стыдно за будущий поступок.",other,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,22]Даже описывать не буду; [24,58]как мне стыдно за будущий поступок",СПП,2,"[0,22]Даже описывать не буду; [24,58]как мне стыдно за будущий поступок",СПП,2,"[0,22]Даже описывать не буду; [24,58]как мне стыдно за будущий поступок",СПП
27,"Дело в том, что я постоянно переживаю за свои прошлые какие-то ошибки, поступки, осознаю то, что неправильно тогда поступала, постоянно мучаю себя, зачем?",presuicidal_monolabel_long,double_ellipsis,"Конструкция с соотносительными словами и неполной клаузой (двойной эллипсис, тип «поступила туда, куда хотела») — спор о том, отдельная ли это клауза.",5,"[0,10]Дело в том; [12,91]что я постоянно переживаю за свои прошлые какие-то ошибки, поступки, осознаю то; [93,124]что неправильно тогда поступала; [126,146]постоянно мучаю себя; [148,153]зачем",Смешанного типа,6,"[0,10]Дело в том; [12,79]что я постоянно переживаю за свои прошлые какие-то ошибки, поступки; [81,91]осознаю то; [93,124]что неправильно тогда поступала; [126,146]постоянно мучаю себя; [148,153]зачем",Смешанного типа,4,"[0,79]Дело в том, что я постоянно переживаю за свои прошлые какие-то ошибки, поступки; [81,91]осознаю то; [93,124]что неправильно тогда поступала; [126,153]постоянно мучаю себя, зачем",Смешанного типа
28,"Друзей не особо много, поэтому не думаю, что с моим уходом они будут сильно горевать, мать говори, что я одна сплошная ошибка и то, что рада беременности, так как это ребёнок будет лучше.",presuicidal_monolabel_long,double_ellipsis,"Конструкция с соотносительными словами и неполной клаузой (двойной эллипсис, тип «поступила туда, куда хотела») — спор о том, отдельная ли это клауза.",7,"[0,21]Друзей не особо много; [23,39]поэтому не думаю; [41,84]что с моим уходом они будут сильно горевать; [86,97]мать говори; [99,125]что я одна сплошная ошибка; [126,153]и то, что рада беременности; [155,186]так как это ребёнок будет лучше",Смешанного типа,7,"[0,21]Друзей не особо много; [23,39]поэтому не думаю; [41,84]что с моим уходом они будут сильно горевать; [86,97]мать говори; [99,130]что я одна сплошная ошибка и то; [132,153]что рада беременности; [155,186]так как это ребёнок будет лучше",Смешанного типа,6,"[23,39]поэтому не думаю; [41,84]что с моим уходом они будут сильно горевать; [86,97]мать говори; [99,130]что я одна сплошная ошибка и то; [132,153]что рада беременности; [155,186]так как это ребёнок будет лучше",Смешанного типа
29,"Друзей у меня нет, приходить было некому, мама меня навещала постоянно, даже ночами сидела.",presuicidal_multilabel_bsp,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",4,"[0,17]Друзей у меня нет; [19,40]приходить было некому; [42,70]мама меня навещала постоянно; [72,90]даже ночами сидела",БСП,4,"[0,17]Друзей у меня нет; [19,40]приходить было некому; [42,70]мама меня навещала постоянно; [72,90]даже ночами сидела",БСП,2,"[0,40]Друзей у меня нет, приходить было некому; [42,90]мама меня навещала постоянно, даже ночами сидела",БСП
30,"Друзей у меня никогда не было, меня постоянно травили в школе, когда возвращался домой били родители.",presuicidal_multilabel_conj,homogeneous_predicates,"Однородные сказуемые через запятую — один аннотатор разделил их на несколько клауз, другой счёл их одной клаузой с однородными членами.",3,"[0,29]Друзей у меня никогда не было; [31,61]меня постоянно травили в школе; [63,100]когда возвращался домой били родители",Смешанного типа,4,"[0,29]Друзей у меня никогда не было; [31,61]меня постоянно травили в школе; [63,86]когда возвращался домой; [87,100]били родители",Смешанного типа,4,"[0,29]Друзей у меня никогда не было; [31,61]меня постоянно травили в школе; [63,86]когда возвращался домой; [87,100]били родители",Смешанного типа
31,"Его твит приобрел вирусный эффект, и о том, что американец собирает смешные русские мемы, узнали в России.",solyanka_lenta_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",4,"[0,33]Его твит приобрел вирусный эффект; [35,42]и о том; [44,88]что американец собирает смешные русские мемы; [90,105]узнали в России",Смешанного типа,4,"[0,33]Его твит приобрел вирусный эффект; [35,42]и о том; [44,88]что американец собирает смешные русские мемы; [90,105]узнали в России",Смешанного типа,4,"[0,33]Его твит приобрел вирусный эффект; [35,42]и о том; [44,88]что американец собирает смешные русские мемы; [90,105]узнали в России",Смешанного типа
32,"Единственная мысль, которая всегда со мной, никогда не покидает меня она, а мысль эта о самоубийстве.",presuicidal_monolabel_long,split_main_clause,Главное предложение со встроенным придаточным — варианты разметки: 2 span'а главной части + придаточное / перекрытие / 2 span'а.,3,"[0,18]Единственная мысль; [20,72]которая всегда со мной, никогда не покидает меня она; [74,100]а мысль эта о самоубийстве",Смешанного типа,4,"[0,18]Единственная мысль; [20,42]которая всегда со мной; [44,72]никогда не покидает меня она; [74,100]а мысль эта о самоубийстве",Смешанного типа,3,"[0,18]Единственная мысль; [20,72]которая всегда со мной, никогда не покидает меня она; [74,100]а мысль эта о самоубийстве",Смешанного типа
33,"Если вы в панике резко снимете с предохранителя , то наверняка опустите его до упора и поставите , тем самым , в режим одиночного огня .",solyanka_lj_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,47]Если вы в панике резко снимете с предохранителя; [50,134]то наверняка опустите его до упора и поставите , тем самым , в режим одиночного огня",СПП,2,"[0,47]Если вы в панике резко снимете с предохранителя; [50,134]то наверняка опустите его до упора и поставите , тем самым , в режим одиночного огня",СПП,2,"[0,47]Если вы в панике резко снимете с предохранителя; [50,134]то наверняка опустите его до упора и поставите , тем самым , в режим одиночного огня",ССП
