text,spans,label
"А ведь мне никто не может помочь кроме себя, а я не слабая, я не понимаю что мне ещё делать.","[(0, 43, 'clause'), (45, 58, 'clause'), (60, 72, 'clause'), (73, 91, 'clause')]",
"Депрессия, постоянная подозрительность, попытки влиться в коллектив настолько замучали меня, что я стала успокаиваться едой.","[(0, 91, 'clause'), (93, 123, 'clause')]",
"Где-то около 1, 2 года назад я стал думать о смерти и впал в дикий ужас, когда представил, что я когда-нибудь умру и меня не будет совсем!","[(0, 71, 'clause'), (73, 89, 'clause'), (91, 114, 'clause'), (115, 137, 'clause')]",
"пока не наступил 33-й год моей жизни, когда я развелся с женой-лентяйкой и содержанкой, за несколько лет совместной жизни я пытался её изменить, но это не получалось, я пил.","[(0, 36, 'clause'), (38, 86, 'clause'), (88, 143, 'clause'), (145, 165, 'clause'), (167, 172, 'clause')]",
"Депрессия и отчаяние довели меня до того, что всё свободное время я провожу в закрытой комнате в постели и единственная моя связь с миром это интернет.","[(0, 40, 'clause'), (42, 150, 'clause')]",
А у меня даже близких друзей нет.,"[(0, 32, 'clause')]",
"Зачем мне жить, если мой самый родной человек погибает?","[(0, 14, 'clause'), (16, 54, 'clause')]",
"Но зато за 5 лет своих первых годиков я видел ужасов, который не каждый взрослый может представить, я жил в страхе, отчаянии и печали.","[(0, 52, 'clause'), (54, 98, 'clause'), (100, 133, 'clause')]",
"Иногда бывает, раз в недельку, я становлюсь радостный, жизнерадостный, но это всего лишь маска, отговорка и отвлечения самому себе, ведь в душе-то я вижу, что все совсем не так. Помогите, пожалуйста, помогите.","[(0, 13, 'clause'), (15, 69, 'clause'), (71, 130, 'clause'), (132, 153, 'clause'), (155, 176, 'clause'), (178, 208, 'clause')]",
Но на утро мне становится ещё хуже.,"[(0, 34, 'clause')]",
"Я бы не плакала, если бы слова отца не перекрыли все приятные воспоминания о нем. И самое страшное, что его настроение может перемениться в любую минуту, и я знаю, что никто не придет ко мне на помощь.","[(0, 15, 'clause'), (17, 80, 'clause'), (82, 98, 'clause'), (100, 152, 'clause'), (154, 162, 'clause'), (164, 200, 'clause')]",
"Я не умею любить, я не верю в платонические, высокие чуства, не верю в искренность.","[(0, 16, 'clause'), (18, 59, 'clause'), (61, 82, 'clause')]",
"Одна воспитывать ребенка я просто наверное не смогу, у меня очень маленькая зарплата и еще кредит по ипотеке, да о отношения между нашими родителями враждебные.","[(0, 51, 'clause'), (53, 108, 'clause'), (110, 159, 'clause')]",
"И пока он мне навязывал чувство вины, загнал меня в глубочайшую депрессию.","[(0, 36, 'clause'), (38, 73, 'clause')]",
"В голове крутятся множество мыслей о том что все к чему-то стремятся или чего-то добились или что-то умеют, а я ничего, кажется что у всех всё в порядке а я просто 0, сразу вспоминаю что у меня нет девушки, да и семья не очень то благополучная в плане людей( то есть финансово всё более менее нормально) через одного алкаши ( мать тоже пила из-за чего моё детство МЯГКО говоря было подпорчено, а потом ещё и умерла когда мне было почти 17, но больший удар мне нанесло то что об этом у знали в группе где я учился и эта жалось ко мне просто разбила меня ) , но зато все думают что знают что мне лучше делать и довольно часто об этом напоминают.","[(0, 40, 'clause'), (41, 106, 'clause'), (108, 118, 'clause'), (120, 127, 'clause'), (128, 152, 'clause'), (153, 165, 'clause'), (167, 182, 'clause'), (183, 205, 'clause'), (207, 257, 'clause'), (259, 302, 'clause'), (304, 323, 'clause'), (326, 340, 'clause'), (341, 392, 'clause'), (394, 414, 'clause'), (415, 438, 'clause'), (440, 470, 'clause'), (471, 499, 'clause'), (500, 512, 'clause'), (513, 552, 'clause'), (557, 575, 'clause'), (576, 585, 'clause'), (586, 606, 'clause'), (607, 642, 'clause')]",
"Но проблема в том, что очень большое время я провожу в одиночестве и мои мысли разрушают меня.","[(0, 17, 'clause'), (19, 66, 'clause'), (67, 93, 'clause')]",
"Я не хочу жить, мы не остались друзьями, из-за моей одной истерики.","[(0, 14, 'clause'), (16, 66, 'clause')]",
А рядом со мной лишь пьяные родители.,"[(0, 36, 'clause')]",
"но я понимаю как тяжело будет моим родственникам и знакомым, но и так дальше жить тоже не очень то и хочется, было столько планов и все они провалились, я так жалею что появился на свет.","[(0, 59, 'clause'), (61, 108, 'clause'), (110, 151, 'clause'), (153, 185, 'clause')]",
"как доказать что это не я, я хочу умереть.","[(0, 12, 'clause'), (13, 25, 'clause'), (27, 41, 'clause')]",
"Несколько раз пытался покончить самоубийством, потому что он меня любит, но не мог сделать самоубийство.","[(0, 45, 'clause'), (47, 71, 'clause'), (73, 103, 'clause')]",
"а я так устала и раздавлена, что не хочу жить.","[(0, 27, 'clause'), (29, 45, 'clause')]",
"я глатала пачками таблетки, резала вены, пыталась повеситься, но немогу.","[(0, 60, 'clause'), (62, 71, 'clause')]",
"И на протяжении всех этих пяти лет я менял себя, менял свою жизнь, менял интересы, менял окружения.","[(0, 98, 'clause')]",
"Родителей я никогда не интересовала, поэтому они не сильно будут переживать, может для них так будет лучше, я ничтожество.","[(0, 35, 'clause'), (37, 75, 'clause'), (77, 106, 'clause'), (108, 121, 'clause')]",
"Общались сперва как друзья, а потом я влюбилась, мне было приятно быть с ним, не было отвращения.","[(0, 26, 'clause'), (28, 47, 'clause'), (49, 76, 'clause'), (78, 96, 'clause')]",
"С тех пор у меня череда неверных решений, опрометчивых действий, моя трусость в какой-то мере в некоторых моментах, и все это постоянно накладывала отпечаток на мое ментальное здоровье.","[(0, 114, 'clause'), (116, 184, 'clause')]",
"А я уеду, вссё у меня получится, всё будет хорошо.","[(0, 8, 'clause'), (10, 31, 'clause'), (33, 49, 'clause')]",
Мне в жизни очень повезло с родней и с любимым человеком.,"[(0, 56, 'clause')]",
"Даже самые родные люди-бабушка и дедушка (со стороны отца) обвиняют в его смерти, что это мы с мамой виноваты, виноваты во всем!","[(0, 80, 'clause'), (82, 127, 'clause')]",
"Всё чаще возникают мысли о суициде, хотя я понимаю что это не выход, да и жив лишь потому что родителей жалко, ненавижу себя.","[(0, 34, 'clause'), (36, 50, 'clause'), (51, 67, 'clause'), (69, 77, 'clause'), (78, 109, 'clause'), (111, 124, 'clause')]",
"Сейчас же у меня опустились руки, думаю о суициде каждый день, режу себе руки, не могу покончить с собой из-за родителей, так как они не смогут это пережить.","[(0, 32, 'clause'), (34, 120, 'clause'), (122, 156, 'clause')]",
"Я вроде не должна думать о самоубийстве, но в последнее время я боюсь себя.","[(41, 74, 'clause')]",
"Я живу один, мысли о суициде все чаще и чаще посещают меня.","[(0, 11, 'clause'), (13, 58, 'clause')]",
"Я стараюсь гнать эти мысли, но они в конец мной овладели.","[(0, 26, 'clause'), (28, 56, 'clause')]",
"я не вижу смысла жить дальше, не проходит и дня чтоб я не думала о суициде, уже давно ничего не складывается, мне 25 лет, нет семьи и ребенка, не работаю, жила до этого в огромном мегаполисе, но все рухнуло, потом ушел любимый человек, а я его до сих пор люблю, хоть и говорю что нет, просто я не нужна ему, и я уже сама не уверенна хотела бы я начать все с начала с ним.","[(0, 28, 'clause'), (30, 47, 'clause'), (48, 74, 'clause'), (76, 108, 'clause'), (110, 120, 'clause'), (122, 141, 'clause'), (143, 153, 'clause'), (155, 190, 'clause'), (192, 206, 'clause'), (208, 234, 'clause'), (236, 260, 'clause'), (262, 275, 'clause'), (276, 283, 'clause'), (285, 306, 'clause'), (308, 332, 'clause'), (333, 370, 'clause')]",
"Я уже рада, что мне просто встречаются такие люди, они радуют и делают твой день.","[(0, 10, 'clause'), (12, 49, 'clause'), (51, 80, 'clause')]",
"Сегодня после чего на меня в очередной раз наорали мама и брат обозвав меня как только им угодно, изза того что я пропустила несколько экзаменов, мол какая я бездарь, ко мне пришли мысли суицида, я просто боюсь этих экзаменов, и не знаю как обьяснить чтобы меня поняли.","[(0, 96, 'clause'), (98, 144, 'clause'), (146, 165, 'clause'), (167, 194, 'clause'), (196, 225, 'clause'), (227, 268, 'clause')]",
"У меня нет никаких друзей, у меня нет подруг, у меня нет девушки, у меня нет приятелей, а теперь еще нет работы.","[(0, 25, 'clause'), (27, 44, 'clause'), (46, 64, 'clause'), (66, 86, 'clause'), (88, 111, 'clause')]",
"И опять я дала тебе обещание не совершать суицид Но не резать себя я не могу, потому что либо то либо это Прости","[(0, 48, 'clause'), (49, 76, 'clause'), (78, 105, 'clause'), (106, 112, 'clause')]",
"я хочу совершить суицид, но мне страшно.","[(0, 23, 'clause'), (25, 39, 'clause')]",
"В последнее время от безисходности и боли я начала прикладываться к алкоголю, причем в больших количествах, когда ребенок спит.","[(0, 106, 'clause'), (108, 126, 'clause')]",
"Я не вижу смысла в жизни и признаюсь, я хочу умереть.","[(0, 36, 'clause'), (38, 52, 'clause')]",
Я убью себя не могу терпеть этот ад.,"[(0, 11, 'clause'), (12, 35, 'clause')]",
И это создало мне трудности: меня мало того не считали интересным - так и ещё меня не воспринимали всерьёз никогда и у многих у кого чесались кулаки применяли против меня силу.,"[(0, 27, 'clause'), (29, 175, 'clause')]",
"и уехать я не могу, вот так бросить маму в больнице.","[(0, 18, 'clause'), (20, 51, 'clause')]",
"Ну должна я умереть, а так страшно.","[(0, 19, 'clause'), (21, 34, 'clause')]",
"А причиной затяжной депрессии стало чувство глубокой любви, которое как я думал должно спасать людей и давать смысл существования, давать силы, а вместо этого оно просто уничтожило меня полностью изнутри и просвета не видно.","[(0, 58, 'clause'), (60, 142, 'clause'), (144, 203, 'clause'), (204, 223, 'clause')]",
"Здравствуйте, очень часто думаю покончить с собой, что бы больше не кто меня не вспоминал, с родителями вообще не общаюсь, с братом тоже, так как им все ровно на меня и что со мной делается, и так всю жизнь очень сильно надоело это, с девушками тоже проблемы, постоянно получаю только отказы, поэтому уже четыре года один, вот поэтому и хочу уйти из жизни, так как не вижу смысла в жизни, зачем она акая нужна, лучше уйти из неё, и даже не кто не вспомнит обо мне, как будто просто пропал","[(0, 12, 'clause'), (14, 49, 'clause'), (51, 89, 'clause'), (91, 121, 'clause'), (123, 136, 'clause'), (138, 189, 'clause'), (191, 231, 'clause'), (233, 258, 'clause'), (260, 291, 'clause'), (293, 321, 'clause'), (323, 355, 'clause'), (357, 387, 'clause'), (389, 409, 'clause'), (411, 428, 'clause'), (430, 463, 'clause'), (465, 488, 'clause')]",
"Не работаю, не учусь и нету желания, хотя пытаюсь заставить себя устроиться хотя бы курьером.","[(0, 35, 'clause'), (37, 92, 'clause')]",
"нахожусь в сильной депрессии, все чаще посещают мысли о смерти, но я не хочу доставлять боль своим родным, как бы мы не ругались, они не заслуживают такого.","[(0, 28, 'clause'), (30, 62, 'clause'), (64, 105, 'clause'), (107, 128, 'clause'), (130, 155, 'clause')]",
"Я зол на своего отца который мне не дал сильного воспитания, в плане мужественности, потому что сильно много пил и приходил домой как фантик, поэтому я ненавижу алкоголь и не курю, алкоголь много делает зла в этом мире, а сколько семей распалось изо этого.","[(0, 20, 'clause'), (21, 83, 'clause'), (85, 140, 'clause'), (142, 179, 'clause'), (181, 218, 'clause'), (220, 255, 'clause')]",
"Учился не плохо но прогулял весь этот семестр, и не сдал 5 экзаменов из 6, теперь долги, думаю что меня вычислять, я паникую, по подаю в стресс, если что то не по плану пошел, и боюсь, что однажды мои родители будут смотреть на меня и понять что я подводил им, будут смотреть на меня без веры и надежды.","[(0, 15, 'clause'), (16, 45, 'clause'), (47, 73, 'clause'), (75, 87, 'clause'), (89, 94, 'clause'), (95, 113, 'clause'), (115, 124, 'clause'), (126, 143, 'clause'), (145, 174, 'clause'), (176, 183, 'clause'), (185, 241, 'clause'), (242, 259, 'clause'), (261, 302, 'clause')]",
"Все девушки гоняют меня из-за якобы внешности и из-за того, что я бедный студент.","[(0, 58, 'clause'), (60, 80, 'clause')]",
"Я планирую уже больше двух месяцев, как это сделать, но мне страшно, что будет после смерти.","[(0, 34, 'clause'), (36, 51, 'clause'), (53, 67, 'clause'), (69, 91, 'clause')]",
"Скоро будет тред о том, как я себя чувствую спустя две недели антидепрессантов и транквилизаторов ( так как спустя две недели употребления АД начинают проявляться первые эффекты) по транкам могу сказать одно - охуенно.","[(0, 22, 'clause'), (24, 217, 'clause')]",
"Я хочу покончить с собой, мне надоели его пьянки и грязная брань я вся в синяках и сын не хочу больше жить, хочу <способ суицида - ред. мод.","[(0, 24, 'clause'), (26, 64, 'clause'), (65, 80, 'clause'), (81, 106, 'clause'), (108, 139, 'clause')]",
"Но я не могу Я боюсь и я хочу просто умереть, но суицид-это не выход.","[(0, 12, 'clause'), (13, 20, 'clause'), (21, 44, 'clause'), (46, 68, 'clause')]",
я хочу чтоб он мне приснился и поговрил со мной( как это сдлеать я хочу покончить с собой я увижу его и все будет хорошо но родители и все родственникам ведь будет плохо( вот не знаю что делать а забвыть про него не могу он сразу.,"[(0, 64, 'clause'), (65, 89, 'clause'), (90, 101, 'clause'), (102, 120, 'clause'), (121, 193, 'clause'), (194, 220, 'clause'), (221, 229, 'clause')]",
"Мы с ней прошли болезнь мужа, развод, а потом его смерть, тотальное одиночество, а теперь.","[(0, 89, 'clause')]",
"Возможно именно эти трипы дали мне понять, что жизнь чудесна.","[(0, 41, 'clause'), (43, 60, 'clause')]",
"у меня высшее образование, хорошая работа, замечательная семья, своя квартира, зарплата, которая меня устраивает, но ничего не радует, постоянный депресс, слезы, уже бешу людей своим нытьем, что все плохо, но это необъяснимо.","[(0, 87, 'clause'), (89, 112, 'clause'), (114, 189, 'clause'), (191, 204, 'clause'), (206, 224, 'clause')]",
"Не знаю, как найти подработку - я интроверт, социофоб, последний раз подрабатывала школьницей летом на школьных клумбах, где меня все знали и сами предложили устроиться.","[(0, 7, 'clause'), (9, 29, 'clause'), (32, 119, 'clause'), (121, 139, 'clause'), (140, 168, 'clause')]",
"Я очень хочу учиться и работать, но моя болезнь сковывает меня в 4х стенах.","[(0, 31, 'clause'), (33, 74, 'clause')]",
"Я просто устала от жизни, и не хочу жить.","[(0, 24, 'clause'), (26, 40, 'clause')]",
"Когда и эти деньги иссякли, я начал искать работу, не имея полезных навыков и специальности я не знал куда податься.","[(0, 26, 'clause'), (28, 91, 'clause'), (92, 115, 'clause')]",
"Возможно, но и суицид не выход А выговориться некому да и ничем это не поможет Плакать тоже не выход, резать себя тоже","[(0, 30, 'clause'), (31, 52, 'clause'), (53, 78, 'clause'), (79, 118, 'clause')]",
"Я просто хочу умереть, но делать этого не буду.","[(0, 21, 'clause'), (23, 46, 'clause')]",
"Я бы давно не раздумывая покинула бы этот мир, но я боюсь оставить маму.","[(0, 45, 'clause'), (47, 71, 'clause')]",
"Никому ничего не рассказывая, я обрекаю саму себя на вечные слезы, истерики и паники, у меня уже начались проблемы с сердцем.","[(0, 84, 'clause'), (86, 124, 'clause')]",
"Жили мы в бедности отец был алкашем, часто избивал мать, последний раз до такой степени, что мать пролежала в реанимации несколько дней, без сознания, там же и умерла.","[(0, 18, 'clause'), (19, 35, 'clause'), (37, 55, 'clause'), (57, 87, 'clause'), (89, 135, 'clause'), (137, 149, 'clause'), (151, 166, 'clause')]",
"Если мне настоять на моральных обязательствах и вернуться к ней, я боюсь что это закончится психическим расстройством.","[(0, 63, 'clause'), (65, 72, 'clause'), (73, 117, 'clause')]",
"Теперь я больше не хочу с кем-либо дружить, потому-что боюсь что меня в очередной раз предадут.","[(0, 42, 'clause'), (44, 94, 'clause')]",
"Старшему уже 9, спрашивает постоянно почему я плачу, а я уже и записку предсмертную написала, чтоб если что все готово было.","[(0, 14, 'clause'), (16, 36, 'clause'), (37, 51, 'clause'), (53, 92, 'clause'), (94, 123, 'clause')]",
"Я перед ней извинился за все что ей причинил ( было очень стыдно, и тут же понял что она забыла про меня вовсе.","[(0, 28, 'clause'), (29, 44, 'clause'), (47, 64, 'clause'), (66, 80, 'clause'), (81, 110, 'clause')]",
Я просила Бога простить меня за грех самоубийства и перестать карать.,"[(0, 68, 'clause')]",
"Знаю что скоро меня уже не будет, пишу это и плачу, так хочется жить, быть с мамой, встретить любовь, да и куча друзей мне даже стыдно перед ними, это и останавливало всегда, но так уже не возможно год или два вошла в эту взрослую жизнь, наделала долгов, просто постоянная депрессия когда остаюсь наедине думаю только как умереть зачем и все мысли об этом, с друзьями и со всеми остальными я такая жизнерадостная была, сейчас уже предел не хочу притворяться, а тут ещё и близится дата когда я должна была отдать эти гребанные деньги, глупо всегда сама это осуждала, а тут взять и самой так.","[(0, 32, 'clause'), (34, 50, 'clause'), (52, 68, 'clause'), (70, 82, 'clause'), (84, 100, 'clause'), (102, 145, 'clause'), (147, 173, 'clause'), (175, 236, 'clause'), (238, 253, 'clause'), (255, 355, 'clause'), (357, 417, 'clause'), (419, 457, 'clause'), (459, 532, 'clause'), (534, 564, 'clause'), (566, 589, 'clause')]",
"Сама учеба мне неинтересна, раньше были общие предметы, теперь пошли специальные, я чувствую себя тупицей, после лекций хочется все бросить, но пока вроде не отчисляют, сама будущая профессия мне неинтересна, я случайно поступила, прошла по баллам, профессия денежная, и я думала, что не останусь без работы, но я ошиблась.","[(0, 26, 'clause'), (28, 54, 'clause'), (56, 80, 'clause'), (82, 105, 'clause'), (107, 139, 'clause'), (141, 167, 'clause'), (169, 207, 'clause'), (209, 247, 'clause'), (249, 267, 'clause'), (269, 279, 'clause'), (281, 307, 'clause'), (309, 322, 'clause')]",
"Я не могу нормально общаться с людьми, а ведь мне именно это так интересно.","[(0, 37, 'clause'), (39, 74, 'clause')]",
"мама была моей единственной опорой и поддержкой, я её сильно любила.","[(0, 47, 'clause'), (49, 67, 'clause')]",
а не давно сорвала голос из за больного горла теперь голос охрип я ненавижу хочу умереть каждый раз прихожу и плачу что голоса нет.,"[(0, 45, 'clause'), (46, 64, 'clause'), (65, 75, 'clause'), (76, 88, 'clause'), (89, 115, 'clause'), (116, 130, 'clause')]",
Я заметил что когда я просто выхожу погулять один собраться с мыслями то есть от семьи подальше мне становиться очень хорошо на душе веселей и спокойней и потом все по новой.,"[(0, 9, 'clause'), (10, 152, 'clause'), (153, 173, 'clause')]",
"Читая другие рассказы я понимаю, что мои проблемы-это полная ерунда, но от этого еще хуже.","[(0, 31, 'clause'), (33, 67, 'clause'), (69, 89, 'clause')]",
"у меня нет ни друзей, ни парня.","[(0, 30, 'clause')]",
"И когда мы иногда виделись после смерти мамы, он постоянно был злой.","[(0, 44, 'clause'), (46, 67, 'clause')]",
"В детском саду меня невзлюбили, яплохо приспосабливался в коллективе, и мать с бабушкой меня очень много гнобили.","[(0, 30, 'clause'), (32, 68, 'clause'), (70, 112, 'clause')]",
"Я хочу умереть, потому что совершенно не вижу смысла в жизни.","[(0, 14, 'clause'), (16, 60, 'clause')]",
"Дошло до того, что панику и кишечные расстройства во мне вызывает банальное присутствие других людей (или даже одного человека, особенно когда при этом надо включать сознание и мозги, что-то говорить, ожидание на меня нависает, и вот уже разрывает изнутри, поднимается страх, и мне надо бежать, бежать, чтоб остаться одной, чтоб ничьи глаза на меня не смотрели, чтоб никто не приближался.","[(0, 13, 'clause'), (15, 126, 'clause'), (128, 182, 'clause'), (184, 199, 'clause'), (201, 226, 'clause'), (228, 255, 'clause'), (257, 274, 'clause'), (276, 293, 'clause'), (295, 301, 'clause'), (303, 322, 'clause'), (324, 360, 'clause'), (362, 387, 'clause')]",
"я постоянно плачу, не хочу жить, да и смысла в жизни не вижу, ведь у меня никогда не было парня.","[(0, 17, 'clause'), (19, 31, 'clause'), (33, 60, 'clause'), (62, 95, 'clause')]",
Второй случай до сих пор причиняет мне физическую и моральную боль.,"[(0, 66, 'clause')]",
Я даже сдохнуть не могу.,"[(0, 23, 'clause')]",
я просто устала от этой депрессии и не знаю как мне быть.,"[(0, 33, 'clause'), (34, 43, 'clause'), (44, 56, 'clause')]",
"Был период, когда мысли о суициде подолгу не выходили из головы, но я решила еще вначале их отбросить ради родных.","[(0, 10, 'clause'), (12, 63, 'clause'), (65, 113, 'clause')]",
"Мы любим друг друга, мы друзья, любовники, мы все что угодно.","[(0, 19, 'clause'), (21, 41, 'clause'), (43, 60, 'clause')]",
"Я кажется сошла с ума, нахожусь в сильной депрессии уже 3й месяц и мысли о самоубийстве все чаще посещают меня.","[(0, 21, 'clause'), (23, 64, 'clause'), (65, 110, 'clause')]",
"У меня хорошие друзья, но я боюсь им об этом говорить, это очень тяжело и сложно.","[(0, 21, 'clause'), (23, 53, 'clause'), (55, 80, 'clause')]",
"Мне 30 лет врачи пугают если сделаю аборт могу остаться бесплодной просто не знаю что делать, греховную мысли в голову лезут может выкидыш будет.","[(0, 10, 'clause'), (11, 23, 'clause'), (24, 41, 'clause'), (42, 66, 'clause'), (67, 81, 'clause'), (82, 92, 'clause'), (94, 124, 'clause'), (125, 144, 'clause')]",
"Я очень люблю своих мальчиков, они души во мне не чают и живу я только для них.","[(0, 29, 'clause'), (31, 54, 'clause'), (55, 78, 'clause')]",
"Но я и так одинока, и мне больно.","[(0, 18, 'clause'), (20, 32, 'clause')]",
"Они хотят помочь, а я сейчас только и думаю, что это будет последним моим днем.","[(0, 16, 'clause'), (18, 43, 'clause'), (45, 78, 'clause')]",
"И вот, пару лет назад внезапно для себя я поняла, что люблю своего старого знакомого, с которым мы дружили много лет.","[(0, 48, 'clause'), (50, 84, 'clause'), (86, 116, 'clause')]",
"Я никто, пустое место, никогда не добьюсь ничего, как бы ни пыталась.","[(0, 21, 'clause'), (23, 48, 'clause'), (50, 68, 'clause')]",
"я стал изгоем, в школе друзей у меня очень мало и я начал себе руку резать не глубоко но порезы есть.","[(0, 13, 'clause'), (15, 47, 'clause'), (48, 85, 'clause'), (86, 100, 'clause')]",
"С самого детства я помню, как пьяная мать избивала меня, а отец называл самыми последними словами.","[(0, 24, 'clause'), (26, 55, 'clause'), (57, 97, 'clause')]",
"Я могу предсказать всю свою жизнь - годы на ненавистной работе за гроши, жизнь от субботы до субботы, рутина и отчаяние","[(0, 119, 'clause')]",
"Из-за этого ещё хуже учусь, постоянно нервничаюРодители этого не понимают и вообще не хотят меня слушатьКак мне быть?","[(0, 47, 'clause'), (47, 104, 'clause'), (104, 116, 'clause')]",
